2,Theodor-Heuss-Straße 34,Stuttgart,None,Germany,70174
3,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7
36,Tauentzienstraße 8,Berlin,None,Germany,10789
38,Barbarossastraße 19,Berlin,None,Germany,10779
30,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7
31,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5
52,202 Hoxton Street,London,None,United Kingdom,N1 5LH
55,421 Bourke Street,Sidney,NSW,Australia,2010
5,Klanova 9/506,Prague,None,Czech Republic,14700
53,113 Lupus St,London,None,United Kingdom,SW1V 3EN
20,541 Del Medio Avenue,Mountain View,CA,USA,94040-111
57,"Calle Lira, 198",Santiago,None,Chile,None
25,319 N. Frances Street,Madison,WI,USA,53703
45,Erzsébet krt. 58.,Budapest,None,Hungary,H-1073
43,"68, Rue Jouvence",Dijon,None,France,21000
22,120 S Orange Ave,Orlando,FL,USA,32801
23,69 Salem Street,Boston,MA,USA,2113
54,110 Raeburn Pl,Edinburgh ,None,United Kingdom,EH4 1HH
48,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016
46,3 Chatham Street,Dublin,Dublin,Ireland,None
6,Rilská 3174/6,Prague,None,Czech Republic,14300
32,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9
49,Ordynacka 10,Warsaw,None,Poland,00-358
29,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1
39,"4, Rue Milton",Paris,None,France,75009
40,"8, Rue Hanovre",Paris,None,France,75002
58,"12,Community Centre",Delhi,None,India,110017
42,"9, Place Louis Barthou",Bordeaux,None,France,33000
4,Ullevålsveien 14,Oslo,None,Norway,171
26,2211 W Berry Street,Fort Worth,TX,USA,76110
21,801 W 4th Street,Reno,NV,USA,89503
59,"3,Raj Bhavan Road",Bangalore,None,India,560001
34,Rua da Assunção 53,Lisbon,None,Portugal,None
33,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6
44,Porthaninkatu 9,Helsinki,None,Finland,530
10,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010
51,Celsiusg. 9,Stockholm,None,Sweden,11230
24,162 E Superior Street,Chicago,IL,USA,60611
8,Grétrystraat 63,Brussels,None,Belgium,1000
19,1 Infinite Loop,Cupertino,CA,USA,95014
35,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None
56,307 Macacha Güemes,Buenos Aires,None,Argentina,1106
15,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8
7,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,None,Austria,1010
11,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200
28,302 S 700 E,Salt Lake City,UT,USA,84102
9,Sønder Boulevard 51,Copenhagen,None,Denmark,1720
1,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000
47,"Via Degli Scipioni, 43",Rome,RM,Italy,192
41,"11, Place Bellecour",Lyon,None,France,69002
14,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7
13,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677
16,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351
12,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020
18,627 Broadway,New York,NY,USA,10012-2612
37,Berger Straße 10,Frankfurt,None,Germany,60316
17,1 Microsoft Way,Redmond,WA,USA,98052-8300
50,C/ San Bernardo 85,Madrid,None,Spain,28015
27,1033 N Park Ave,Tucson,AZ,USA,85719
